merk,veld,besluit,reden,staat,bron
3A Composites GmbH,phone,NIET vervangen,brondatum 2016-01-27 tegen 2024-03-06,+4977319413500,+495411219300
ABET,website,wordt vervangen,bronsterkte 1 tegen 9,https://nl.abetlaminati.com/,abet.nl
ABET,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 88 010 1707,+31306868450
Agrob Buchtal,phone,wordt vervangen,bronsterkte 1 tegen 9,+49 (0) 94 35 391 0,+492283914403
Alumet,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Mon Plaisir 32,Nieuwe Donk 7
Alumet,postcode,wordt vervangen,bronsterkte 1 tegen 9,4879 AN,4879 AC
Alumet,city,wordt vervangen,bronsterkte 1 tegen 9,Etten-Leur,Eten Leur
ArcelorMittal Specials,website,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,arcelormittaltiel.com,arcelormittaltiel.nl
ArcelorMittal Specials,email,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,info@arcelormittal.com,info.amcn@arcelormittal.com
ArcelorMittal Specials,phone,NIET vervangen,brondatum 2016-01-27 tegen 2026-02-20,+31344636939,+31344631746
ArcelorMittal Specials,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Krommewei 8,Biezenwei 2
ArcelorMittal Specials,postcode,wordt vervangen,bronsterkte 1 tegen 9,4004 LZ,4004 MB
Arturo Unique Flooring,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.arturoflooring.nl,arturoflooring.com
Arturo Unique Flooring,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Unipro B.V. | A company of Uzin Utz AG
Postbus 33",Industriestraat 15
Arturo Unique Flooring,postcode,wordt vervangen,bronsterkte 1 tegen 9,7480 AA,7482 EW
Baars & Bloemhoff,phone,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,+31881028080,+31302882134
Baars & Bloemhoff,address_line_1,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,"Schaverijstraat, 9E",Laagraven 44
Baars & Bloemhoff,postcode,wordt vervangen,bronsterkte 1 tegen 9,3534 AS,3439 LK
Baars & Bloemhoff,city,wordt vervangen,bronsterkte 1 tegen 9,Utrecht,Nieuwegein
Barrisol Normalu Group,email,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,info@barrimore.nl,info@barrisol.com
Barrisol Normalu Group,phone,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,+31850603332,+33763213907
Barrisol Normalu Group,address_line_1,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,Aambeeldstraat 10,Route Du Sipes 68
Barrisol Normalu Group,postcode,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,1021,F 68680
Barrisol Normalu Group,city,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,KBAmsterdam,Kembs
Barrisol Normalu Group,country,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,NL,FR
Refin S.p.A.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Via I Maggio, 22",Via I Maggio 22 Salvaterra
Refin S.p.A.,postcode,wordt vervangen,bronsterkte 1 tegen 9,42013,I 42013
Refin S.p.A.,city,wordt vervangen,bronsterkte 1 tegen 9,"Salvaterra di Casalgrande, Reggio Emilia",Casalgrande
Nature@home,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Belder 27,Argon 25
Nature@home,postcode,wordt vervangen,bronsterkte 1 tegen 9,4704 RK,4751 XC
Nature@home,city,NIET vervangen,brondatum 2016-01-27 tegen 2025-02-26,Roosendaal,Oud Gastel
DC Design Beton,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Vierde Broekdijk 39,Einsteinstraat 15
DC Design Beton,postcode,wordt vervangen,bronsterkte 1 tegen 9,7122 JD,6902 PB
DC Design Beton,city,wordt vervangen,bronsterkte 1 tegen 9,Aalten,Zevenaar
DecoLegno,address_line_1,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,Industrieweg 13A,Parklaan 35-37
DecoLegno,postcode,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,1521 NC,1544 AK
DecoLegno,city,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,Wormerveer,Zaandijk
Decomo,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 568 507 11,+32474770831
Decomo,postcode,wordt vervangen,bronsterkte 1 tegen 9,7700,B 7700
Desso,email,wordt vervangen,bronsterkte 1 tegen 9,marketingNL@tarkett.com,info@desso.com
Desso,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 416 684 100,+31416684117
Desso,postcode,wordt vervangen,bronsterkte 1 tegen 9,5142 PA,5140 AD
DLW Flooring,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.dlwflooring.com,dlwflooring.nl
DLW Flooring,phone,wordt vervangen,bronsterkte 1 tegen 9,0031 (0)73 503 9440,+31735039446
DLW Flooring,city,wordt vervangen,bronsterkte 1 tegen 9,'S Hertogenbosch,Hertogenbosch
Donkersloot,phone,NIET vervangen,brondatum 2016-01-27 tegen 2025-02-26,+31882400800,+31882400801
Diamond Spectrum Enterprises,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.diamondspectrum.com,diamondspectrum.nl
Eeuwenhout,email,wordt vervangen,bronsterkte 1 tegen 9,info@eeuwenhout.be,info@houtidee.be
Eeuwenhout,postcode,wordt vervangen,bronsterkte 1 tegen 9,9140,B 9140
