merk,veld,besluit,reden,staat,bron
1000 Graden,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.1000graden.art/,1000graden.art.nl
Acoustic Trend B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0) 202 157550,+31629494594
Acoustic Trend B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Prof.J.H. Bavincklaan 7,Moermond 1-1
Acoustic Trend B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,1183 AT,1082 CL
Acoustic Trend B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,Amstelveen,Amsterdam
Alphenberg Leather,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 198,Tielenstraat 7
Alphenberg Leather,postcode,wordt vervangen,bronsterkte 1 tegen 9,5140 AD,5154 RC
ArcelorMittal,email,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,info@arcelormittal.com,info.amcn@arcelormittal.com
ArcelorMittal,phone,NIET vervangen,brondatum 2020-03-17 tegen 2026-02-20,+31344636939,+31344631746
ArcelorMittal,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Biezenwei 2,Krommewei 8
ArcelorMittal,postcode,wordt vervangen,bronsterkte 1 tegen 9,4000 HB,4004 LZ
Atelier Cagnoni,phone,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,+393498976008,+31686443624
Atelier Cagnoni,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Brugmanstraat,Brugmanstraat 63
Baars & Bloemhoff,email,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,sales@baars-bloemhoff.nl,info@baars-bloemhoff.nl
Baars & Bloemhoff,phone,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,+31881028080,+31302882134
Baars & Bloemhoff,postcode,wordt vervangen,bronsterkte 1 tegen 9,3439 LK,3534 AS
Baars & Bloemhoff,city,wordt vervangen,bronsterkte 1 tegen 9,Nieuwegein,Utrecht
Beton-Lab,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Europalaan 2B,Catharijnesingel 57
Beton-Lab,postcode,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,3526 KS,3511 GE
Bricknic,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Veldkersweg 27,Von Flotowlaan 1
Bricknic,postcode,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,3053 JR,5653 AD
Bricknic,city,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Rotterdam,Eindhoven
Gramitherm Europe SA,website,wordt vervangen,bronsterkte 1 tegen 9,https://gramitherm.eu,gramitherm.ch
Gramitherm Europe SA,email,wordt vervangen,bronsterkte 1 tegen 9,info@gramitherm.eu,info@bzwholland.nl
Gramitherm Europe SA,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 71 80 04 46,+31345745487
Gramitherm Europe SA,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"87 , rue des Glaces Nationales",Lingedijk 7
Gramitherm Europe SA,postcode,wordt vervangen,bronsterkte 1 tegen 9,5060,4197 HA
Gramitherm Europe SA,city,wordt vervangen,bronsterkte 1 tegen 9,Auvelais / Sambreville,Buurmalsen
Gramitherm Europe SA,country,wordt vervangen,bronsterkte 1 tegen 9,BE,NL
Cellulose factory,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 6 11 86 84 08,+31614668302
Cellulose factory,city,vult leeg veld,,,Rotterdam
BVBA Presentation Samples,email,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,info@presentationsamples.com,hello@connectionwalls.com
BVBA Presentation Samples,phone,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,+31308887162,+3152573920
Cooloo,phone,NIET vervangen,brondatum 2020-03-17 tegen 2026-02-20,+31478785648,+31630934342
Cooloo,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,Stayerhofweg 2 d,Energiestraat 11B
Cooloo,postcode,wordt vervangen,bronsterkte 1 tegen 9,5861 EJ,5961 PT
Cooloo,city,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,Wannsum,Horst
DuoLino,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)6 47335798,+31619416740
DuoLino,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Paul Scholtenstraat 32,Pastoor Botsstraat 19
DuoLino,postcode,wordt vervangen,bronsterkte 1 tegen 9,1063 NG,1566 DV
DuoLino,city,wordt vervangen,bronsterkte 1 tegen 9,Amsterdam,Assendelft
Easy Noise Control,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Boteyken 363,Gessel 62
Easy Noise Control,postcode,wordt vervangen,bronsterkte 1 tegen 9,3454 PD,3454 MZ
Eeuwenhout,email,wordt vervangen,bronsterkte 1 tegen 9,info@houtidee.be,info@eeuwenhout.be
Enis Akiev,phone,vult leeg veld,,,+4916092561176
Enis Akiev,address_line_1,vult leeg veld,,,Lützlongericherstr. 36-38
Enis Akiev,postcode,vult leeg veld,,,50739
Enis Akiev,city,vult leeg veld,,,Köln
fairf,website,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,fairf.eu,fairf.nl
fairf,phone,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,+31682065277,+31103046075
fairf,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nieuwe Donk 15,Seinhuiswachter 9
fairf,postcode,wordt vervangen,bronsterkte 1 tegen 9,4879 AC,3034 KH
fairf,city,wordt vervangen,bronsterkte 1 tegen 9,Etten-Leur,Rotterdam
FINSA,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 179,Westerhavenweg 12
FINSA,postcode,wordt vervangen,bronsterkte 1 tegen 9,4380 AD,4382 NM
Flokk,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Blaak 28,Blaak 28 zijentree
Foreco Houtproducten,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 73,Damholterweg 5
Foreco Houtproducten,postcode,wordt vervangen,bronsterkte 1 tegen 9,7720 AB,7722 KJ
Guardyl,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.stootlijst.com/,guardyl.com
Guardyl,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Mijkenbroek 2,Kalshoven 17a
Guardyl,postcode,wordt vervangen,bronsterkte 1 tegen 9,4824 AB,4825 AL
Het Groene Kabinet,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Hof van Cartesius,Vlampijpstraat 94
Holland Laminati,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.hollandlaminati.nl/nl/,placabois.be
Holland Laminati,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)486 42 55 24,+32472495956
HuisVeendam B.V.,phone,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,+31622232099,+31598371654
HuisVeendam B.V.,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,Transportweg 5,Transportweg 38
Hunter Douglas Architectural Nederland,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 5072,Piekstraat 2
Hunter Douglas Architectural Nederland,postcode,wordt vervangen,bronsterkte 1 tegen 9,3008 AB,3071 EL
Hydro Extrusions Benelux,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Hydro Extrusion Drunen B.V.
Alcoalaan 1",Alcoalaan 1
4Design,phone,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,+31348558120,+31348558100
Interface,city,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,3925BDScherpenzeel,Scherpenzeel
Jansen by ODS,email,wordt vervangen,bronsterkte 1 tegen 9,info@jansenbyods.com,info@ods-geveltechniek.nl
Koskisen Oyj,website,NIET vervangen,brondatum 2020-03-17 tegen 2026-03-09,koskisen.fi,koskisen.com
Koskisen Oyj,email,wordt vervangen,bronsterkte 1 tegen 9,orders.thinply@koskisen.com,info@koskisen.com
Koskisen Oyj,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Tehdastie 2,Otavantie 395
Koskisen Oyj,postcode,wordt vervangen,bronsterkte 1 tegen 9,16600,52550
Koskisen Oyj,city,wordt vervangen,bronsterkte 1 tegen 9,Järvelä,Hirversalmi
Kourasanit,email,vult leeg veld,,,info@kourasanit-netherlands.nl
Kourasanit,phone,wordt vervangen,bronsterkte 1 tegen 9,+31641503318,+31614851283
La Gadoue Atelier,phone,vult leeg veld,,,+32478942009
La Gadoue Atelier,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Studio City Gate 152 rue des Goujons,1A Rue de la Petite île
Mflor,email,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,contact@mflor.com,info@mflor.com
Magna Glaskeramik by Michel Oprey & Beisterveld,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 157,Havenweg 18
Magna Glaskeramik by Michel Oprey & Beisterveld,postcode,wordt vervangen,bronsterkte 1 tegen 9,6100 AD,6101 AB
Moso International,website,NIET vervangen,brondatum 2020-03-17 tegen 2026-03-09,moso-bamboo.com,moso.eu
Nophadrain BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 3016,Mercuriusstraat 10
Nophadrain BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,6460 HA,6468 ER
Occony,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Vijzelgracht 2a,Van Der Vijverstraat 38
Occony,postcode,wordt vervangen,bronsterkte 1 tegen 9,1017 HR,1093 KD
Orac Decor,phone,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,+31852084059,+3259803252
Pretty Plastic,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,Karperweg 41,Obiplein 18 D
Pretty Plastic,postcode,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,1075 LB,1094 RB
Pyrasied,website,NIET vervangen,brondatum 2020-03-17 tegen 2026-03-09,pyrasied.com,pyrasied.nl
Pyrasied,email,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,sales@pyrasied.com,marketing@pyrasied.nl
RAW Paints BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 851850555,+31611397897
Rik Makes,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Daalakkersweg 10,Gagelstraat 8
Rik Makes,postcode,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,5641 JA,5611 BH
RTS Preidel,email,wordt vervangen,bronsterkte 1 tegen 9,sales@rtspreidel.nl,sales@rts-preidel.nl
Sappi Netherlands Services BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)43 38 22713,+31433822433
Sileather,website,wordt vervangen,bronsterkte 1 tegen 9,siliconeleather.com,sileather.com
Sileather,phone,wordt vervangen,bronsterkte 1 tegen 9,+33689829687,+862087046567
Sileather,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,71 Boulevard National,"Yanling Road 89, Room 1311"
Sileather,postcode,wordt vervangen,bronsterkte 1 tegen 9,92250,510000
Sileather,city,wordt vervangen,bronsterkte 1 tegen 9,La Garenne-Colombes,"Guangzhou, Guangdong"
Sto,email,wordt vervangen,bronsterkte 1 tegen 9,info.nl@sto.com,marketing.nl@sto.com
Studio Chardé Brouwer,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Bilderdijkstraat 13,Adikade 66
Studio Chardé Brouwer,postcode,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,3532 VA,3531 WS
Studio Lisa Ortsen,website,NIET vervangen,brondatum 2020-03-17 tegen 2025-02-26,studio-lisaortsen.nl,lisaortsen.nl
Studio Lisa Ortsen,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Buidelnet 10,Walchersestraat 30c
Studio Lisa Ortsen,postcode,NIET vervangen,brondatum 2020-03-17 tegen 2025-02-26,3192 NH,3083 NM
Studio Lisa Ortsen,city,NIET vervangen,brondatum 2020-03-17 tegen 2025-02-26,Hoogvliet Rotterdam,Rotterdam
Studio Mixtura,phone,vult leeg veld,,,+31620184204
Studio Mixtura,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nachtegalaan 400,Torenallee 22-04
Studio Mixtura,postcode,wordt vervangen,bronsterkte 1 tegen 9,5616LZ,5617 BD
Studio Samira Boon,email,wordt vervangen,bronsterkte 1 tegen 9,sales@samiraboon.com,info@samiraboon.com
Studio Samira Boon,phone,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,+31637172862,+319093203449
Studio Samira Boon,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Oostelijke Handelskade 12L,"Oosterlijke Handelskade, 12M"
The New Raw,phone,NIET vervangen,brondatum 2020-03-17 tegen 2025-02-26,+31642875665,+31647848080
The New Raw,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2025-02-26,Schiemond 20,Schiemond 20-20
Studio Wae,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,Gansstraat 170,Gansstraat 170 VoormaligPieterbaan centrum
Tabled Design (Tabled Europe B.V.),phone,vult leeg veld,,,+31641732118
The Good Plastic Company,phone,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,+31203991260,+31202215779
The Good Plastic Company,address_line_1,NIET vervangen,brondatum 2020-03-17 tegen 2024-03-06,"Keersluisweg 7, Hal 1",Bolderweg 26C
The Good Plastic Company,postcode,wordt vervangen,bronsterkte 1 tegen 9,1332 EE,1332 AV
Tribar,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0) 493 316 860,+31655854414
Tribar,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Haageind 60,Vuurijzer 15
Tribar,postcode,wordt vervangen,bronsterkte 1 tegen 9,5754 BZ,5753 SV
Vescom Nederland,website,wordt vervangen,bronsterkte 1 tegen 9,vescom.nl,vescom.com
Vescom Nederland,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 70,Sint Jozefstraat 20
Vescom Nederland,postcode,wordt vervangen,bronsterkte 1 tegen 9,5750 AB,5753 AV
Vyva Fabrics,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Frankfurtstraat 29-31,TT. Vasumweg 140
Vyva Fabrics,postcode,wordt vervangen,bronsterkte 1 tegen 9,1175 RH,1033 SH
Vyva Fabrics,city,wordt vervangen,bronsterkte 1 tegen 9,Lijnden,Amsterdam
Waterweg,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Maasboulevard 100,Noordsingel 104-1
Waterweg,postcode,NIET vervangen,brondatum 2020-03-17 tegen 2022-03-17,3063 NS,3032 BH
