merk,veld,besluit,reden,staat,bron
Acrylic One,email,wordt vervangen,bronsterkte 1 tegen 9,info@acrylicone.com,info@activecomposite.com
Agrob Buchtal,website,wordt vervangen,bronsterkte 1 tegen 9,agrob-buchtal.nl,agrob-buchtal.de
Agrob Buchtal,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 49,Buchtal 1
Agrob Buchtal,postcode,wordt vervangen,bronsterkte 1 tegen 9,92515,92521
Akoesta,phone,wordt vervangen,bronsterkte 1 tegen 9,+31205602620,+31207601046
Alphenberg Leather,email,wordt vervangen,bronsterkte 1 tegen 9,info@alphenberg.com,office@alphenberg.com
Alphenberg Leather,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Grotestraat 180,Tielenstraat 7
Alphenberg Leather,postcode,wordt vervangen,bronsterkte 1 tegen 9,5141 HD,5145 RC
3A Composites,email,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-28,info@alucobond.com,info.eu@alucobond.de
3A Composites,phone,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-28,+4977319413500,+4977319412952
Amorim S.A.,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.wicanders.com,amorim.com
Amorim S.A.,email,wordt vervangen,bronsterkte 1 tegen 9,geral.ar@amorim.com,amorim@amorim.com
Amorim S.A.,phone,wordt vervangen,bronsterkte 1 tegen 9,+22 7475600,+31166609159
Amorim S.A.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Rua do Ribeirinho, 202, Apartado 13",Slabbecoornweg 27
Amorim S.A.,postcode,wordt vervangen,bronsterkte 1 tegen 9,4536 - 907,4691 RZ
Amorim S.A.,city,wordt vervangen,bronsterkte 1 tegen 9,S.Paio Oleiros,Tholen
Amorim S.A.,country,wordt vervangen,bronsterkte 1 tegen 9,PT,NL
Amtico International,email,wordt vervangen,bronsterkte 1 tegen 9,info@amtico.com,info@amtico.de
Amtico International,phone,wordt vervangen,bronsterkte 1 tegen 9,+44 (0)24 76861400,+492131359160
Amtico International,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Kingfield Road,Im Taubental 11
Amtico International,postcode,wordt vervangen,bronsterkte 1 tegen 9,CV6 5AA,41468
Amtico International,city,wordt vervangen,bronsterkte 1 tegen 9,Coventry,Neuss
Amtico International,country,wordt vervangen,bronsterkte 1 tegen 9,GB,DE
Ananas Anam,phone,wordt vervangen,bronsterkte 1 tegen 9,+44 (0) 20 7257 9370,+442072579371
Arcelor Mittal Construction Nederland B.V.,website,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,arcelormittaltiel.com,arcelormittaltiel.nl
Arcelor Mittal Construction Nederland B.V.,email,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,info@arcelormittal.com,info.amcn@arcelormittal.com
Arcelor Mittal Construction Nederland B.V.,phone,NIET vervangen,brondatum 2018-03-13 tegen 2026-02-20,+31344636939,+31344631746
Arcelor Mittal Construction Nederland B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Biezenwei 2,"Biezenwei 2 Industrieterrein, Medel"
Architile B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31854851475,+31653371048
Architile B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 69,Emtenbroekerdijk 44
Architile B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,7770 AB,7695 TV
Architile B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,Hardenberg,Bruchterveld
Arctic Biomaterials Oy (ABM),phone,vult leeg veld,,,+358469229900
Arctic Biomaterials Oy (ABM),address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Osuusmyllynkatu 13,Hepolamminkatu 11
Arctic Biomaterials Oy (ABM),postcode,wordt vervangen,bronsterkte 1 tegen 9,33700,33720
Asona,phone,wordt vervangen,bronsterkte 1 tegen 9,+31206435850,+31621263398
Baars & Bloemhoff,email,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,sales@baars-bloemhoff.nl,info@baars-bloemhoff.nl
Baars & Bloemhoff,phone,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,+31881028080,+31302882134
Baars & Bloemhoff,address_line_1,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,"Schaverijstraat, 9E",Laagraven 44
bARC flooring,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nieuwe Uilenburgerstraat 14,Borneokade 293
bARC flooring,postcode,wordt vervangen,bronsterkte 1 tegen 9,1011 LP,1019 XG
Bruynzeel Multipanel,phone,wordt vervangen,bronsterkte 1 tegen 9,+31756554220,+31756554200
Bruynzeel Multipanel,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 59,Westzijde 414
Bruynzeel Multipanel,postcode,wordt vervangen,bronsterkte 1 tegen 9,1500 EB,1506 GM
Ceramiche Refin,postcode,wordt vervangen,bronsterkte 1 tegen 9,I 42013,42013
Cunera,website,wordt vervangen,bronsterkte 1 tegen 9,https://cunera.nl,clayve.nl
Cunera,email,wordt vervangen,bronsterkte 1 tegen 9,info@cunera.nl,info@clayve.nl
DecoLegno B.V.,address_line_1,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,Industrieweg 13A,Parklaan 35-37
DecoLegno B.V.,postcode,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,1521 NC,1544 AK
DecoLegno B.V.,city,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,Wormerveer,Zaandijk
Easy Noise Control,website,wordt vervangen,bronsterkte 1 tegen 9,easy-noisecontrol.nl,easy-noisecontrol.com
ENCI,phone,wordt vervangen,bronsterkte 1 tegen 9,+31736401213,+31736401170
ENCI,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Sint Teunislaan 1,Pettelaarpark 30
ENCI,postcode,wordt vervangen,bronsterkte 1 tegen 9,5203 DE,5216 PD
ENCI,city,wordt vervangen,bronsterkte 1 tegen 9,Hertogenbosch,'s-Hertogenbosch
EQUITONE,email,wordt vervangen,bronsterkte 1 tegen 9,info.gevel@eternit.nl,info.thenetherlands@equitone.com
EQUITONE,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 (0)30 236 87 32,+31302368732
FAAY VIANEN,email,wordt vervangen,bronsterkte 1 tegen 9,info@faay.com,info@faay.nl
FETIM,email,wordt vervangen,bronsterkte 1 tegen 9,info@nl.fetimgroup.com,info@fetimgroup.com
FETIM,phone,wordt vervangen,bronsterkte 1 tegen 9,+31205805285,+31205805333
FETIM,postcode,wordt vervangen,bronsterkte 1 tegen 9,1000 AT,1047 BP
Forbo Flooring,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 13,Industrieweg 12
Forbo Flooring,postcode,wordt vervangen,bronsterkte 1 tegen 9,1560 AA,1566 JP
Forbo Flooring,city,wordt vervangen,bronsterkte 1 tegen 9,Krommenie,Assendelft
Foreco,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 73,Damholterweg 5
Foreco,postcode,wordt vervangen,bronsterkte 1 tegen 9,7720 AB,7722 KJ
Formica Group,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)70 710 0150,+441912593912
Formica Group,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nieuw-Mathenesserstraat 69,Coastroad Tyne & Wear
Formica Group,postcode,wordt vervangen,bronsterkte 1 tegen 9,3113 AE,NE29 8RE
Formica Group,city,wordt vervangen,bronsterkte 1 tegen 9,Schiedam,North Shields
Formica Group,country,wordt vervangen,bronsterkte 1 tegen 9,NL,GB
Greijn Form Technics BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 4618,Broeklaan 103
Guardian Glass Europe,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,19 rue du puits romain,Rue du Puits Romain 19
Guardian Glass Europe,postcode,wordt vervangen,bronsterkte 1 tegen 9,L-8070,8070
Holonite,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 39,Ambachtsweg 9
Holonite,postcode,wordt vervangen,bronsterkte 1 tegen 9,4690 AA,4691 SB
Hydro Extrusions,phone,vult leeg veld,,,+31416386100
Hydro Extrusions,address_line_1,vult leeg veld,,,Alcoalaan 1
Hydro Extrusions,postcode,vult leeg veld,,,5151 RW
Hydro Extrusions,city,vult leeg veld,,,Drunen
Inncempro B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Lansinkseweg 4,Lansinkesweg 4
Interface,city,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,3925BDScherpenzeel,Scherpenzeel
IVC Commercial,email,wordt vervangen,bronsterkte 1 tegen 9,info@ivc-commercial.com,info@ivcgroup.com
Kobe Interior Design,phone,wordt vervangen,bronsterkte 1 tegen 9,+31402078400,+31402078462
Kooy Baksteencentrum,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 198,Rembrandtlaan 38
Kooy Baksteencentrum,postcode,wordt vervangen,bronsterkte 1 tegen 9,3720 AD,3723 BJ
Lenzing,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.lenzing.com,lenzing-fibers.com
Lenzing,email,wordt vervangen,bronsterkte 1 tegen 9,office@lenzing.com,marketing@lenzing.com
Lenzing,phone,wordt vervangen,bronsterkte 1 tegen 9,+43(0)767 270 120 85,+4376727010
Lenzing,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Werkstraße 2,Werkstrasse 2
De Poortere Deco NV,email,wordt vervangen,bronsterkte 1 tegen 9,info@louisdepoortere,info@depoorterelouis.com
De Poortere Deco NV,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Rue de la royenne 45B,Rue de la Royenne 45
Magna Glaskeramik,phone,wordt vervangen,bronsterkte 1 tegen 9,+49 34601 39700,+4934601397010
Magna Glaskeramik,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Strasse der Einheit 18,Am Mittelfeld 1
Magna Glaskeramik,postcode,wordt vervangen,bronsterkte 1 tegen 9,D-06179,39326
Magna Glaskeramik,city,wordt vervangen,bronsterkte 1 tegen 9,Teutschenthal,Loitsche-Heinrichsberg
Margaret van Bekkum,phone,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,+316041362948,+31641362948
Merford Acoustic Materials B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31183643800,+31183675040
Merford Acoustic Materials B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 160,Franklinweg 8
Merford Acoustic Materials B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,4200 AD,4207 HZ
mFLOR International B.V.,email,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,contact@mflor.com,sales@mflor.com
MHB bv,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 6,Onderstalstraat 3
MHB bv,postcode,wordt vervangen,bronsterkte 1 tegen 9,6674 ZG,6674 ME
Michel Oprey & Beisterveld Natuursteen & Keramiek,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 157,Havenweg 18
Michel Oprey & Beisterveld Natuursteen & Keramiek,postcode,wordt vervangen,bronsterkte 1 tegen 9,6100 AD,6101 AB
Modulyss,phone,wordt vervangen,bronsterkte 1 tegen 9,+3252808080,+3152808080
Moso International,website,NIET vervangen,brondatum 2018-03-13 tegen 2026-03-09,moso-bamboo.com,moso.eu
NedZink B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 2135,Hoofdstraat 1
NedZink B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,6020 AC,6024 AA
NedZink B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,Budel,Budel-Dorplein
Nevra,phone,wordt vervangen,bronsterkte 1 tegen 9,+31356781880,+31622243166
Nevra,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Amsterdamsestraatweg 29G,Amsterdamsestraatweg 7C
Nophadrain B.V.,website,wordt vervangen,bronsterkte 1 tegen 9,https://nophadrain.com/nl,nophadrain.nl
Nophadrain B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,6468 KR,6468 ER
Riverclack,website,wordt vervangen,bronsterkte 1 tegen 9,riverclack.nl,riverclack.com
Riverclack,email,wordt vervangen,bronsterkte 1 tegen 9,info@riverclack.nl,info@iscom.it
Riverclack,phone,wordt vervangen,bronsterkte 1 tegen 9,+31736843893,+39457732177
Riverclack,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Stationsplein 91,Industrieweg 9c
Riverclack,postcode,wordt vervangen,bronsterkte 1 tegen 9,5211 BM,5262 GJ
Riverclack,city,wordt vervangen,bronsterkte 1 tegen 9,'s-Hertogenbosch,Vught
Rodruza B.V.,address_line_1,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,Sint Canisiussingel 20,St. Canisiussingel 20
RTS Preidel,city,wordt vervangen,bronsterkte 1 tegen 9,Alblasserdam,Ablasserdam
Schoeller Textil AG,postcode,wordt vervangen,bronsterkte 1 tegen 9,CH 9475,9475
Sika Nederland B.V,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.sika.nl,sika.be
Sika Nederland B.V,email,wordt vervangen,bronsterkte 1 tegen 9,info@nl.sika.com,info@be.sika.com
Sika Nederland B.V,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0) 30 241 0120,+3293816500
Sika Nederland B.V,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Zonnebaan 56,Venecoweg 37
Sika Nederland B.V,postcode,wordt vervangen,bronsterkte 1 tegen 9,3542 EG,9810
Sika Nederland B.V,city,wordt vervangen,bronsterkte 1 tegen 9,Utrecht,Nazareth
Sika Nederland B.V,country,wordt vervangen,bronsterkte 1 tegen 9,NL,BE
SILEATHER,website,wordt vervangen,bronsterkte 1 tegen 9,sileather.com,siliconeleather.com
SILEATHER,email,wordt vervangen,bronsterkte 1 tegen 9,marketing@sileather.com,info@sileather.com
SILEATHER,phone,wordt vervangen,bronsterkte 1 tegen 9,+33689829687,+862087233027
SILEATHER,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Boulevard National 71,"71, Boulevard National"
Withindia Building Solutions,email,wordt vervangen,bronsterkte 1 tegen 9,info@sinhbuild.com,sales@sinhbuild.com
Withindia Building Solutions,phone,wordt vervangen,bronsterkte 1 tegen 9,+31883748400,+31619175045
Withindia Building Solutions,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Saturnusstraat 60,Saturnusstraat 60 Unit 67
Sonae Arauco,website,vult leeg veld,,,sonaearauco.com
Sonae Arauco,phone,vult leeg veld,,,+31348434400
Sonae Arauco,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Grecostraße 1,Edisonweg 8A
Sonae Arauco,postcode,wordt vervangen,bronsterkte 1 tegen 9,49716,3442 AC
Sonae Arauco,city,wordt vervangen,bronsterkte 1 tegen 9,Meppen,Woerden
Sonae Arauco,country,wordt vervangen,bronsterkte 1 tegen 9,DE,NL
Technowood,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Emek Mh. Natoyolu Cd. 319/1,"Emek Mah. Natoyolu Cad. NO, 319/1"
The Mosaic Factory,phone,wordt vervangen,bronsterkte 1 tegen 9,+31137681170,+317681170
The Stonhard Group,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.stonhard.com,thestonhardgroup.com
The Stonhard Group,email,wordt vervangen,bronsterkte 1 tegen 9,pdehaan@stonhard.com,info@stonhard.nl
Triflex BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nikolaus Ottostraat 16,Boerendanserdijk 35
Triflex BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,8013 NG,8024 AE
Twentinox,postcode,wordt vervangen,bronsterkte 1 tegen 9,7550 AA,7553 GS
Unilin Panels,phone,wordt vervangen,bronsterkte 1 tegen 9,+3156667021,+3256667021
Unilin Panels,postcode,wordt vervangen,bronsterkte 1 tegen 9,B 8780,8780
VeroMetal,phone,NIET vervangen,brondatum 2018-03-13 tegen 2022-03-17,+31455313080,+31495453974
Wineo,phone,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-26,+31306351000,+4952376090
Wineo,address_line_1,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-26,Sasdijk 14,Nord-West-Ring 21
Wineo,postcode,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-26,8281 BM,32832
Wineo,city,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-26,Genemuiden,Augustdorf
Wineo,country,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-26,NL,DE
Xyhlo Biofinish (Xylotrade BV),phone,NIET vervangen,brondatum 2018-03-13 tegen 2024-03-06,+31850161331,+31547286359
Xyhlo Biofinish (Xylotrade BV),address_line_1,NIET vervangen,brondatum 2018-03-13 tegen 2024-03-06,Muntengang 4,Breukersweg 11
Xyhlo Biofinish (Xylotrade BV),postcode,NIET vervangen,brondatum 2018-03-13 tegen 2024-03-06,7411 GD,7471 ST
Xyhlo Biofinish (Xylotrade BV),city,NIET vervangen,brondatum 2018-03-13 tegen 2024-03-06,Deventer,Goor
Zwarthout Shou-Sugi-Ban,phone,NIET vervangen,brondatum 2018-03-13 tegen 2025-02-26,+31343768959,+31621294727
