merk,veld,besluit,reden,staat,bron
AGC Glass Europe,email,wordt vervangen,bronsterkte 1 tegen 9,anton.peters@agc.com,sales.nederland@eu.agc.com
AGC Glass Europe,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Panovenweg 21,Postbus 6025
AGC Glass Europe,postcode,wordt vervangen,bronsterkte 1 tegen 9,4004 JE,4000 HA
AGC Glass Europe,country,wordt vervangen,bronsterkte 1 tegen 9,BE,NL
Apavisa Porcelanico S.L.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Ctra. Castell&oacute;n.San Juan de Mor&oacute;,Hm. 7,5","Ctra. Castellón – San Juan de Moró hm 7,5"
Apavisa Porcelanico S.L.,postcode,wordt vervangen,bronsterkte 1 tegen 9,12130,12530
Apavisa Porcelanico S.L.,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,San Juan de Mor&oacute;,San Juan De Moró
De Nis,city,wordt vervangen,bronsterkte 1 tegen 9,De Weere,De Weere NH
Barrisol,email,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,info@barrimore.nl,mail@barrisol.com
Barrisol,phone,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,+31850603332,+33389832020
Barrisol,address_line_1,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,Aambeeldstraat 10,Route du Sipes
Barrisol,postcode,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,1021,68680
Barrisol,city,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,KBAmsterdam,Kembs
Barrisol,country,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,NL,FR
Cityroofs,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.zoontjens.nl,cityroofs.nl
Cityroofs,postcode,wordt vervangen,bronsterkte 1 tegen 9,5000 AB,5015 TA
Decall International BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)6 51711037,+31299671445
Decall International BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Hazenkoog 29K,De Volger 25
Decall International BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,1822 BS,1483 GA
Decall International BV,city,wordt vervangen,bronsterkte 1 tegen 9,Alkmaar,De Rijp
DecoLegno,address_line_1,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,Industrieweg 13A,Rijshoutweg 25
DecoLegno,postcode,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,1521 NC,1505 HL
DecoLegno,city,NIET vervangen,brondatum 2012-01-25 tegen 2022-03-17,Wormerveer,Zaandam
Desso B.V.,email,wordt vervangen,bronsterkte 1 tegen 9,info@desso.com,service-nl@desso.com
Donkersloot,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nijverheidswerf 37,Postbus 105
Donkersloot,postcode,wordt vervangen,bronsterkte 1 tegen 9,1402 BV,1400 AC
Knauf B.V.,website,wordt vervangen,bronsterkte 1 tegen 9,https://knauf.com/nl-NL,knauf.nl
Knauf Insulation BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 (0)10 48.84.60,+31162421245
Knauf Insulation BV,address_line_1,vult leeg veld,,,Postbus 375
Knauf Insulation BV,postcode,vult leeg veld,,,4900 AJ
Knauf Insulation BV,city,vult leeg veld,,,Oosterhout
Knauf Insulation BV,country,wordt vervangen,bronsterkte 1 tegen 9,BE,NL
MOSA,email,wordt vervangen,bronsterkte 1 tegen 9,info@mosa.nl,servicedesk@mosa.nl
MOSA,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 43 368 9229,+31433689444
MBI De Steenmeesters,email,wordt vervangen,bronsterkte 1 tegen 9,info@mbi.nl,infobouw@mbi.nl
MBI De Steenmeesters,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 413 349404,+31383994204
MBI De Steenmeesters,postcode,wordt vervangen,bronsterkte 1 tegen 9,8263 AS,8260 AJ
modulyss,phone,wordt vervangen,bronsterkte 1 tegen 9,+3252808080,+3252457211
Partners in Design B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 5184,Nikkelstraat 29
Partners in Design B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,1410 AD,1411 AG
Porcelanosa Grupo,phone,wordt vervangen,bronsterkte 1 tegen 9,+31207372845,+31641662983
Porcelanosa Grupo,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Westerdoksdijk 681,Isolatorweg 4 (showroom)
Porcelanosa Grupo,postcode,wordt vervangen,bronsterkte 1 tegen 9,1013 BX,1014 AS
Richard Wernekinck Wol Groothandel,email,NIET vervangen,brondatum 2012-01-25 tegen 2024-03-06,sales@hollandfelt.nl,info@wernekinck.com
Richard Wernekinck Wol Groothandel,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Buitenwatersloot 71,Hugo de Grootstraat 175
Schott,email,wordt vervangen,bronsterkte 1 tegen 9,kerstin.kohl@schott.com,info@schott.com
Schott,phone,wordt vervangen,bronsterkte 1 tegen 9,+49 (0) 9633/80 - 283,+496131664339
Schott,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Erich-Schott-Str. 14,Hattenbergstr. 10
Schott,postcode,wordt vervangen,bronsterkte 1 tegen 9,95666,55122
Schott,city,wordt vervangen,bronsterkte 1 tegen 9,Mitterteich,Mainz
Sefar,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.sefar.com,sefararchitecture.com
Sefar,phone,wordt vervangen,bronsterkte 1 tegen 9,+41 71 898 5104,+41718985617
Sefar,postcode,wordt vervangen,bronsterkte 1 tegen 9,CH-9410,9410
Steinfort Glas,email,NIET vervangen,brondatum 2012-01-25 tegen 2025-02-24,sales@steinfort.nl,info@steinfort.nl
Steinfort Glas,phone,NIET vervangen,brondatum 2012-01-25 tegen 2025-02-24,+31517380900,+31517380905
Twentinox,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Petroleumhavenstraat 1-3,Postbus 6
Twentinox,postcode,wordt vervangen,bronsterkte 1 tegen 9,7553 GS,7550 AA
Van Besouw Tapijt BV,phone,NIET vervangen,brondatum 2012-01-25 tegen 2024-03-06,+31383857373,+31383858818
Vescom Nederland,website,wordt vervangen,bronsterkte 1 tegen 9,vescom.com,vescom.nl
Wicona (Sapa Building Systems),email,wordt vervangen,bronsterkte 1 tegen 9,sbsdrunen@sapagroup.com,info@wicona.be
Wicona (Sapa Building Systems),phone,wordt vervangen,bronsterkte 1 tegen 9,+31 416 386 480,+3214249999
Wicona (Sapa Building Systems),address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Alcoalaan 1,Welvaartstraat 14/1 bus 6
Wicona (Sapa Building Systems),postcode,wordt vervangen,bronsterkte 1 tegen 9,5151 RW,2200
Wicona (Sapa Building Systems),city,wordt vervangen,bronsterkte 1 tegen 9,Drunen,Herentals
Wicona (Sapa Building Systems),country,wordt vervangen,bronsterkte 1 tegen 9,NL,BE
ZinCo Benelux B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 206 674 852,+31206674858
