merk,veld,besluit,reden,staat,bron
RTS-Visuals,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+31786920888,+31786920882
LEOXX,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Ringveste 9,Sasdijk 14
LEOXX,postcode,wordt vervangen,bronsterkte 1 tegen 9,3992DD,8281 BM
LEOXX,city,wordt vervangen,bronsterkte 1 tegen 9,Houten,Genemuiden
Saint-Gobain Ecophon,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.ecophon.com/nl,ecophon.nl
EEUWENHOUT,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 3 710 66 40,+323237106640
Iris Nijenhuis,phone,vult leeg veld,,,+31620570723
Iris Nijenhuis,address_line_1,vult leeg veld,,,Prinseneiland 24-A1
Iris Nijenhuis,postcode,vult leeg veld,,,1013 LR
Iris Nijenhuis,city,vult leeg veld,,,Amsterdam
Cooloo,email,NIET vervangen,brondatum 2025-03-12 tegen 2026-02-20,sales@cooloo.nl,info@cooloo.nl
Sponge Building Project,phone,vult leeg veld,,,+491709874552
Sponge Building Project,address_line_1,vult leeg veld,,,Kleinschmidtstraße 48
Sponge Building Project,postcode,vult leeg veld,,,69115
Sponge Building Project,city,vult leeg veld,,,Heidelberg
Mohawk Group,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Industriëlaan 97a,Industriëlaan 97
The New Raw,phone,vult leeg veld,,,+31642875665
The New Raw,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Schiemond 20-22,Schiemond 20
Faay Vianen B.V.,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.faay.com,faay.nl
Rebrick,phone,vult leeg veld,,,+31886477777
Rebrick,address_line_1,vult leeg veld,,,Vlasblomweg 24
Rebrick,postcode,vult leeg veld,,,1521 PW
Rebrick,city,vult leeg veld,,,wormer
HOLLANDFELT,email,wordt vervangen,bronsterkte 1 tegen 9,sales@hollandfelt.nl,info@hollandfelt.nl
Studio Dørff,email,wordt vervangen,bronsterkte 1 tegen 9,joriswarndorff@hotmail.com,info@studiodorff.nl
Studio Dørff,phone,vult leeg veld,,,+31624350049
Studio Dørff,address_line_1,vult leeg veld,,,Mathenesserdijk 101
Studio Dørff,postcode,vult leeg veld,,,3027 BE
Studio Dørff,city,vult leeg veld,,,Rotterdam
Waardewenders,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+31172420565,+31623039597
Neil David,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+31204471507,+31224471507
SOL-R&D,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+31103197042,+31634253206
QbiQ,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-02-20,+31885010500,+31613619629
Connection Walls,phone,vult leeg veld,,,+3252573920
BioPanel B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Tramstraat 4,Hanzeweg 14H
BioPanel B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,7241 CJ,7241 CS
Novel Grey,phone,vult leeg veld,,,+31634064637
Novel Grey,address_line_1,vult leeg veld,,,Europalaan 2B F1.4
Novel Grey,postcode,vult leeg veld,,,3526 KS
Novel Grey,city,vult leeg veld,,,Utrecht
Steinfort Glas,email,wordt vervangen,bronsterkte 1 tegen 9,info@steinfort.nl,sales@steinfort.nl
Steinfort Glas,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 520 (postoffice box),Marconistraat 6
Steinfort Glas,postcode,wordt vervangen,bronsterkte 1 tegen 9,8800 AM,8801 PM
Rubio Monocoat Nederland,website,NIET vervangen,brondatum 2025-03-12 tegen 2026-02-04,rubiomonocoat.nl,rubiomonocoat.com
Almet Nederland BV,email,wordt vervangen,bronsterkte 1 tegen 9,info@almet.nl,info@alucobond.com
Almet Nederland BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)765425200,+4977319413500
Almet Nederland BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,postbus 3381,Alusingenplatz 1
Almet Nederland BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,4800 DJ,78224
Almet Nederland BV,city,wordt vervangen,bronsterkte 1 tegen 9,Breda,Singen
Almet Nederland BV,country,wordt vervangen,bronsterkte 1 tegen 9,NL,DE
Zwarthout | Shou Sugi Ban,phone,vult leeg veld,,,+31343768959
Zwarthout | Shou Sugi Ban,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Duivenkampweg 1,Middelweg 85
Zwarthout | Shou Sugi Ban,postcode,wordt vervangen,bronsterkte 1 tegen 9,6741 HE,3956 TL
Zwarthout | Shou Sugi Ban,city,wordt vervangen,bronsterkte 1 tegen 9,Lunteren,Leersum
TOOtheZOO,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Lisdoddelaan 39 (Office),Lisdoddelaan 39
WasteCraft,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.wastecraft.nl,wastecraft.design
Sustonable,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0) 628 565 175,+31618766112
Sustonable,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Antonie van Leeuwenhoekweg 24,A. van Leeuwenhoekweg 24
Mareen Baumeister,phone,vult leeg veld,,,+4915788383432
Mareen Baumeister,address_line_1,vult leeg veld,,,Storkower Straße 175
Mareen Baumeister,postcode,vult leeg veld,,,10369
Atelier 4C,phone,vult leeg veld,,,+31610901169
Atelier 4C,address_line_1,vult leeg veld,,,Marktstraat 29
Atelier 4C,postcode,vult leeg veld,,,5371 AC
Atelier 4C,city,vult leeg veld,,,Ravenstein
Stichting Fabrikaat,phone,vult leeg veld,,,+31647312428
Stichting Fabrikaat,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Zaligestraat 10,Fabrikaat
Stichting Fabrikaat,address_line_2,vult leeg veld,,,Zaligestraat 10
TRIBOO,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+31850250063,+31653790330
Bagaceira,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Carrer de la Verneda 19, Nave 1 o 3",Carrer de Verneda 19
Bagaceira,address_line_2,vult leeg veld,,,Nave 1 o 3
Bagaceira,postcode,wordt vervangen,bronsterkte 1 tegen 9,08018,8018
fairf,phone,vult leeg veld,,,+31612307494
Mogu,email,wordt vervangen,bronsterkte 1 tegen 9,enquire@mogu.bio,sales@mogu.bio
Mogu,phone,wordt vervangen,bronsterkte 1 tegen 9,+39 0332 1802141,+393386265191
Mogu,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Via San Francesco D'Assisi 62,Via San Francesco 62
Mogu,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Inarzo (VA),Inarzo
VanHier,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Larenseweg 139,Industrieweg 2b
VanHier,postcode,wordt vervangen,bronsterkte 1 tegen 9,1221CL,1231 KH
VanHier,city,wordt vervangen,bronsterkte 1 tegen 9,Hilversum,Loosdrecht
Crush on Nature,phone,vult leeg veld,,,+31648068713
Crush on Nature,address_line_1,vult leeg veld,,,Eemhavenweg 26
Crush on Nature,postcode,vult leeg veld,,,3089 KG
Crush on Nature,city,vult leeg veld,,,Rotterdam
Slalom by Whoooz,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+32468066866,+3256744020
CoFlora Design,website,wordt vervangen,bronsterkte 1 tegen 9,https://coflora.nl,coflora.org
Fabromont AG,email,wordt vervangen,bronsterkte 1 tegen 9,info@fabromont.ch,kontakt@fabromont.ch
Fabromont AG,postcode,wordt vervangen,bronsterkte 1 tegen 9,CH-3185,3185
Fabromont AG,city,wordt vervangen,bronsterkte 1 tegen 9,Schmitten,Schmitten FR
Foran BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Hazelaarlaan 17,Bornissestraat 10
Foran BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,4645 JA,3044 AE
Foran BV,city,wordt vervangen,bronsterkte 1 tegen 9,Putte,Rotterdam
LEOXX,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Ringveste 9,Sasdijk 14
LEOXX,postcode,wordt vervangen,bronsterkte 1 tegen 9,3992DD,8281 BM
LEOXX,city,wordt vervangen,bronsterkte 1 tegen 9,Houten,Genemuiden
Roba Metals Amsterdam,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-02-20,+31629483913,+31306860242
Fabulous Fungi,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Marinus Batenburgplein 17,Maasboulevard 100
Fabulous Fungi,postcode,wordt vervangen,bronsterkte 1 tegen 9,3065KL,3063 NS
Buxkin-Group B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+ 31 578 610707,+31651526182
Buxkin-Group B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Buxkin BV
Postbus 203",Terminalweg 15
Buxkin-Group B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,8160 AE,3821 AJ
Buxkin-Group B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,EPE,Amersfoort
EASYfelt B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,De Meern,Utrecht
Dijkstra Friese Kleiwarenfabriek,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Oude Opperhuizerweg 45,Oude Oppenhuizerweg 45
Compostboard,address_line_1,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,Eikenlaan 45,Boutenslaan 83
Compostboard,postcode,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,5757 PS,5644 TS
Compostboard,city,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,Liessel,Eindhoven
Revoltech GmbH,phone,wordt vervangen,bronsterkte 1 tegen 9,+49 (0) 176 97323456,+4915170233971
Revoltech GmbH,city,wordt vervangen,bronsterkte 1 tegen 9,Darmstadt,"Darmstadt, Hessen"
Meilof Riks,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-02-10,+31598636040,+31614302349
The Good Plastic Company,email,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,hello@polygood.com,hello@thegoodplasticcompany.com
The Good Plastic Company,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+31208095764,+31203991260
The Good Plastic Company,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Keersluisweg 7,"Keersluisweg 7, Hal 1"
Dukta,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.dukta.com,dukta.nl
Dukta,phone,vult leeg veld,,,+31773278500
Dukta,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Eschenhaustrasse 42,Vasco da Gamaweg 10
Dukta,postcode,wordt vervangen,bronsterkte 1 tegen 9,8053,5928 LD
Dukta,city,vult leeg veld,,,Venlo
Dukta,country,wordt vervangen,bronsterkte 1 tegen 9,CH,NL
vanPlestik,phone,wordt vervangen,bronsterkte 1 tegen 9,06-23925688,+316023925688
vanPlestik,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,"Rondehoep West 26


1191KK

Ouderkerk aan de Amstel",Rondehoep West 26
vanPlestik,postcode,vult leeg veld,,,1191 KK
vanPlestik,city,vult leeg veld,,,Ouderkerk aan de Amstel
Moduleo,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.moduleo.com,pro.moduleo.com
Moduleo,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 56 653 211,+31631001249
Moduleo,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nijverheidslaan 29,Unilin Flooring Nederland
Moduleo,address_line_2,vult leeg veld,,,Wilhelminaplein 20
Moduleo,postcode,wordt vervangen,bronsterkte 1 tegen 9,B-8580,3072
Moduleo,city,wordt vervangen,bronsterkte 1 tegen 9,Avelgem,Rotterdam
Moduleo,country,wordt vervangen,bronsterkte 1 tegen 9,BE,NL
The Good Floor BV,phone,NIET vervangen,brondatum 2025-03-12 tegen 2026-03-09,+31103071825,+31657473277
The Good Floor BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Van Nelleweg 1,The Good Floor & Wall BV
The Good Floor BV,address_line_2,vult leeg veld,,,Van Nelleweg 1
The Good Floor BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,3044 BC,3045 PA
Studio Lisa Ortsen,email,wordt vervangen,bronsterkte 1 tegen 9,info@lisaortsen.nl,info@studio-lisaortsen.nl
Studio Lisa Ortsen,city,wordt vervangen,bronsterkte 1 tegen 9,Rotterdam,Hoogvliet Rotterdam
Pantoni,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)348220800,+31348558100
Rietgoed,email,wordt vervangen,bronsterkte 1 tegen 9,iris@rietgoed.nl,info@rietgoed.nl
