merk,veld,besluit,reden,staat,bron
3A Composites GmbH,email,NIET vervangen,brondatum 2015-02-11 tegen 2025-02-28,info@alucobond.com,info.eu@alucobond.com
3A Composites GmbH,phone,NIET vervangen,brondatum 2015-02-11 tegen 2025-02-28,+4977319413500,+497731803500
3A Composites,phone,NIET vervangen,brondatum 2015-02-11 tegen 2024-03-06,+4977319413500,+495411219300
3A Composites,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Alusingenplatz 1,Kiefernweg 10
3A Composites,postcode,wordt vervangen,bronsterkte 1 tegen 9,78224,49090
3A Composites,city,wordt vervangen,bronsterkte 1 tegen 9,Singen,Osnabrück
AGROB BUCHTAL,phone,wordt vervangen,bronsterkte 1 tegen 9,+4994353910,+492283914403
Alumet,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 62,Nieuwe Donk 7
Alumet,postcode,wordt vervangen,bronsterkte 1 tegen 9,4870 AB,4879 AC
Eeuwenhout,email,wordt vervangen,bronsterkte 1 tegen 9,info@houtidee.be,info@eeuwenhout.be
Eeuwenhout,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Temse-Velle,Temse
Ardex,website,wordt vervangen,bronsterkte 1 tegen 9,ardex.eu,pandomo-ardex.com
Ardex,phone,wordt vervangen,bronsterkte 1 tegen 9,+492302664604,+4923026640
Ardex,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Friedrich Ebert Strasse 45,Friedrich-Ebert-Straße 45
Armstrong Floor Products BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31735039440,+31735039446
Arpa Nederland,email,wordt vervangen,bronsterkte 1 tegen 9,arpanl@arpaindustriale.com,verkoop@arpaindustriale.com
Art of Ceilings,website,wordt vervangen,bronsterkte 1 tegen 9,artofceilings.nl,artofceilings.com
Art of Ceilings,phone,wordt vervangen,bronsterkte 1 tegen 9,+31735039440,+31203444154
Arturo Unique Flooring,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 33,Bouwstraat 18
Arturo Unique Flooring,postcode,wordt vervangen,bronsterkte 1 tegen 9,7480 AA,7483 PA
Baars & Bloemhoff,email,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,sales@baars-bloemhoff.nl,info@baars-bloemhoff.nl
Baars & Bloemhoff,phone,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,+31881028080,+31302882134
Baars & Bloemhoff,address_line_1,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,"Schaverijstraat, 9E",Laagraven 44
Barrisol®,email,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,info@barrimore.nl,mail@barrisol.com
Barrisol®,phone,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,+31850603332,+33389832020
Barrisol®,address_line_1,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,Aambeeldstraat 10,Route du SIPES
Barrisol®,postcode,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,1021,F- 68680
Barrisol®,city,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,KBAmsterdam,Kembs
Barrisol®,country,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,NL,FR
Bolidt Flooring,email,wordt vervangen,bronsterkte 1 tegen 9,website@bolidt.nl,info@bolidt.nl
Bolidt Flooring,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 131,Nijverheidsweg 37
Bolidt Flooring,postcode,wordt vervangen,bronsterkte 1 tegen 9,3340 AC,3341 LJ
CarlStahl,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.carlstahl.com/de/de,carlstahl.nl
CarlStahl,phone,wordt vervangen,bronsterkte 1 tegen 9,+49 (0)716240070,+31756318536
CarlStahl,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postweg 41,Kleine Tocht 5
CarlStahl,postcode,wordt vervangen,bronsterkte 1 tegen 9,73079,1507 CB
CarlStahl,city,wordt vervangen,bronsterkte 1 tegen 9,Süssen,Zaandam
CarlStahl,country,wordt vervangen,bronsterkte 1 tegen 9,DE,NL
Ceramiche Refin Spa,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Casalgrande (RE),Casalgrande
DecoLegno,address_line_1,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,Industrieweg 13A,Parklaan 35-37
DecoLegno,postcode,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,1521 NC,1544 AK
DecoLegno,city,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,Wormerveer,Zaandijk
Desso BV,website,wordt vervangen,bronsterkte 1 tegen 9,desso.com,desso-businesscarpets.nl
Desso BV,email,wordt vervangen,bronsterkte 1 tegen 9,infodessoprojecten@desso.com,service-nl@desso.com
Easy Noise Control B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31348769063,+31302270199
Easy Noise Control B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nijverheidsweg 18-d,Boteyken 363
Easy Noise Control B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,3481 MB,3454 PD
Easy Noise Control B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,Harmelen,de Meern
EKOTEX Wandafwerking,email,wordt vervangen,bronsterkte 1 tegen 9,info@ekotexwandafwerking.nl,info@relius.nl
EKOTEX Wandafwerking,city,wordt vervangen,bronsterkte 1 tegen 9,Bunschoten,Bunschoten-Spakenburg
Forbo Flooring Systems B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31756477880,+31756477477
Formica,phone,wordt vervangen,bronsterkte 1 tegen 9,+441912593912,+441912393100
Formica,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Coastroad Tyne & Wear,11 Silver Fox Way
Formica,postcode,wordt vervangen,bronsterkte 1 tegen 9,NE29 8RE,NE27 0QJ
Formica,city,wordt vervangen,bronsterkte 1 tegen 9,North Shields,"Newcastle upon Tyne, Tyne & Wear"
Fydro,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.fydro.nl,dinamicccc.com
Interface Nederland BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Industrielaan 15,Industrielaan 15 (Postbus 16)
Interface Nederland BV,postcode,NIET vervangen,brondatum 2015-02-11 tegen 2024-03-06,3925 BD,3925 ZG
Interface Nederland BV,city,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,3925BDScherpenzeel,Scherpenzeel
ITEC,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.itecfloor.com,itecfloors.com
Lei Import,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Battenweg 12,Battenweg 10
MBI De Steenmeesters,postcode,wordt vervangen,bronsterkte 1 tegen 9,8263 AS,8260 AJ
Meilof Riks bv,phone,NIET vervangen,brondatum 2015-02-11 tegen 2025-03-21,+31614302349,+31598636040
Mindow Maastricht,website,wordt vervangen,bronsterkte 1 tegen 9,mindow.com,mindow.nl
Mindow Maastricht,phone,wordt vervangen,bronsterkte 1 tegen 9,+31611336335,+31180640500
Mindow Maastricht,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Kruisweg 46,Donk 6
Mindow Maastricht,city,wordt vervangen,bronsterkte 1 tegen 9,Meern,Barendrecht
Mosa,postcode,wordt vervangen,bronsterkte 1 tegen 9,6201 BA,6224 AL
Moso International,website,NIET vervangen,brondatum 2015-02-11 tegen 2026-03-09,moso-bamboo.com,moso.eu
My Dog's New Tricks,phone,vult leeg veld,,,+31612993143
My Dog's New Tricks,address_line_1,vult leeg veld,,,Korte Papaverweg 7C
My Dog's New Tricks,postcode,vult leeg veld,,,1032 KA
My Dog's New Tricks,city,vult leeg veld,,,Amsterdam
Natuurgevelsteen,phone,wordt vervangen,bronsterkte 1 tegen 9,+31851110550,+31642745949
Natuurgevelsteen,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Zuideropgaande 46A,Postbus 20
Natuurgevelsteen,postcode,wordt vervangen,bronsterkte 1 tegen 9,7913 TN,9482 TC
Natuurgevelsteen,city,wordt vervangen,bronsterkte 1 tegen 9,Hollandscheveld,Tynaarloo
Hollandfelt,phone,NIET vervangen,brondatum 2015-02-11 tegen 2026-03-09,+31152146341,+31123456789
Hollandfelt,postcode,wordt vervangen,bronsterkte 1 tegen 9,2513 VS,2613 VS
Roba Metals B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31123456789,+31306860211
Sefar AG,phone,wordt vervangen,bronsterkte 1 tegen 9,+41718985617,+41718985700
Steuler Fliesen,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Industriestrasse 78,Industriestraße 78
Steuler Fliesen,city,wordt vervangen,bronsterkte 1 tegen 9,Muhlacker,Mühlacker
Tarkett,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)416-684 100,+31765780760
Tarkett,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Taxandriaweg 15,Denariusstraat 21
Tarkett,postcode,wordt vervangen,bronsterkte 1 tegen 9,5142 PA,4903 RC
Tarkett,city,wordt vervangen,bronsterkte 1 tegen 9,Waalwijk,Oosterhout
Trespa International B.V.,email,NIET vervangen,brondatum 2015-02-11 tegen 2024-03-06,info@trespa.com,infonederland@trespa.com
UNILIN,phone,wordt vervangen,bronsterkte 1 tegen 9,+3251304932,+3256667021
UNILIN,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Ambachtenstraat 68,Ingelmunstersteenweg 229
UNILIN,postcode,wordt vervangen,bronsterkte 1 tegen 9,8870,8780
UNILIN,city,wordt vervangen,bronsterkte 1 tegen 9,Izegem,Oostrozebeke
VeroMetal®,phone,NIET vervangen,brondatum 2015-02-11 tegen 2022-03-17,+31455313080,+31495453974
VeroMetal®,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Buizerdweg 6a,Windmolen 46
VeroMetal®,postcode,wordt vervangen,bronsterkte 1 tegen 9,6374 BS,6003 BK
VeroMetal®,city,wordt vervangen,bronsterkte 1 tegen 9,Landgraaf,Weert
Vyva Fabrics,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,TT. Vasumweg 140,Frankfurtstraat 29-31
Vyva Fabrics,postcode,wordt vervangen,bronsterkte 1 tegen 9,1033 SH,1175 RH
Vyva Fabrics,city,wordt vervangen,bronsterkte 1 tegen 9,Amsterdam,Lijnden
Warmteplan,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Mercuriusweg 5,Mercuriusweg 5-7
Warmteplan,postcode,wordt vervangen,bronsterkte 1 tegen 9,6971 GV,6971 BC
"Wicona, Hydro Building Systems",phone,wordt vervangen,bronsterkte 1 tegen 9,+3214249999,+31416386480
"Wicona, Hydro Building Systems",address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Welvaartstraat 14/1 bus 6,Alcoalaan 1
"Wicona, Hydro Building Systems",postcode,wordt vervangen,bronsterkte 1 tegen 9,2200,5151 RW
"Wicona, Hydro Building Systems",city,wordt vervangen,bronsterkte 1 tegen 9,Herentals,Drunen
"Wicona, Hydro Building Systems",country,wordt vervangen,bronsterkte 1 tegen 9,BE,NL
Wijzonol,website,wordt vervangen,bronsterkte 1 tegen 9,wijzonol.com,wijzonol.nl
Wijzonol,email,wordt vervangen,bronsterkte 1 tegen 9,info@wijzonol.com,info@wijzonol.nl
